H Ejected Yields
H in solar masses
   Isotope     m3z1m3-bigpoc       m2z1m3-bigpoc       m2z2m3-bigpoc     
   Se-73       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Se-74       2.07778215952e-11   1.2096593329e-11    8.15918504138e-12 
   Se-75       3.00124809942e-18   2.28221538249e-20   6.44195030712e-20 
   Se-76       4.01446968622e-10   2.3052953354e-10    1.99466631866e-10 
   Se-77       2.55564036706e-10   1.4776156305e-10    1.16351313878e-10 
   Se-78       1.0511502334e-09    5.90923186877e-10   4.76742486204e-10 
   Se-79       7.45694689296e-11   3.2581312465e-11    1.40540510657e-11 
   Se-80       1.79304745577e-09   9.62993720459e-10   6.56406019701e-10 
   Se-81       8.20467963183e-25   1.24050421075e-25   4.39528462374e-25 
   Se-82       2.27974358344e-10   1.34087387226e-10   9.39897671668e-11 
   Se-83       1.45333277747e-27   1.13940731512e-27   4.76735246165e-27 
   Se-84       7.16004278149e-38   1.14398632406e-60   3.6932894322e-100 
   Br-74       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-75       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-76       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-77       1.74786082439e-99   1.03788789024e-99   1.31836377516e-54 
   Br-78       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-79       2.6407463384e-10    1.54602620191e-10   1.18663016049e-10 
   Br-80       7.45478156395e-25   3.7965891266e-25    9.83782285452e-25 
   Br-81       3.36829739904e-10   1.82174472041e-10   1.27160738686e-10 
   Br-82       1.09580259534e-17   9.66191641827e-21   3.21076077196e-20 
   Br-83       6.02770595255e-25   4.70912490786e-25   6.11535369658e-25 
   Br-84       2.22765330128e-33   4.93935041964e-39   2.79161267223e-36 
   Br-85       6.95926175261e-45   1.03788789024e-99   3.69310986331e-100
   Br-86       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-87       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-76       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-77       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-78       6.76499121343e-12   3.93805701094e-12   2.65790868572e-12 
   Kr-79       1.16419810771e-22   3.86938093119e-24   2.59945715168e-23 
   Kr-80       5.51180472838e-11   3.79243731715e-11   4.00442141693e-11 
   Kr-81       3.9262072706e-12    7.21840223481e-12   1.13243769199e-11 
   Kr-82       5.02611818133e-10   2.85397095252e-10   2.30892844724e-10 
   Kr-83       3.31164983862e-10   1.87092739262e-10   1.38475208838e-10 
   Kr-84       1.8820045191e-09    9.82599388585e-10   7.32995128666e-10 
   Kr-85       2.27756651323e-11   3.38498503432e-16   4.42252687266e-16 
   Kr-86       1.52773491916e-09   3.57544980883e-10   2.85137632319e-10 
   Kr-87       4.9831074884e-24    3.80367093571e-25   8.77882400178e-25 
   Kr-88       2.28512957168e-29   1.29251482344e-57   1.07125932922e-33 
   Kr-89       3.56734954979e-43   1.03788789024e-99   3.69310986331e-100
   Kr-90       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-79       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-80       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-81       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-82       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-83       2.71662434308e-70   1.03788789024e-99   3.69310986331e-100
   Rb-84       2.97487018863e-29   6.61598387501e-30   1.13785163636e-29 
   Rb-85       4.17903192133e-10   2.02397055069e-10   1.46508404921e-10 
   Rb-86       1.56934842319e-15   3.19437311495e-19   4.67056708589e-19 
   Rb-87       4.34793183494e-10   9.77665952673e-11   6.42582141005e-11 
   Rb-88       1.50515780453e-25   7.7103502589e-27    2.86736868577e-26 
   Rb-89       5.80508382967e-33   2.19265520276e-39   2.58997741794e-36 
   Rb-90       8.43487244869e-42   1.03788789024e-99   3.69310986331e-100
   Rb-91       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-80       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-81       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-82       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-83       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-84       5.59892709668e-12   3.25722925696e-12   2.19189757376e-12 
   Sr-85       3.09657037057e-20   2.00106689169e-21   5.05475729159e-21 
   Sr-86       3.21744006666e-10   1.84913028502e-10   1.70725479247e-10 
   Sr-87       2.34434462343e-10   1.26079943161e-10   1.13075099264e-10 
   Sr-88       4.27965296893e-09   1.91357966581e-09   2.88518459463e-09 
   Sr-89       1.57259093777e-15   1.76223633105e-19   7.63558125674e-18 
   Sr-90       7.75531838422e-12   8.04453243955e-15   4.75246471285e-16 
   Sr-91       2.97444884295e-22   2.10887265529e-60   9.11582019512e-31 
   Sr-92       1.67699043762e-30   5.65983806252e-83   3.69310986331e-100
   Sr-93       4.9160094038e-45    1.03788789024e-99   3.69310986331e-100
   Sr-94       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-85        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-86        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-87        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-88        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-89        1.23423013232e-09   4.91936334428e-10   7.55605421972e-10 
   Y-90        2.0375994064e-15    2.04740555813e-18   2.97409796499e-19 
   Y-91        4.06992687465e-18   1.54948647962e-26   2.02535499876e-24 
   Y-92        1.24805375811e-28   2.08619091057e-79   8.86599518406e-100
   Y-93        5.43912617023e-30   1.03788789024e-99   3.69310986331e-100
   Y-94        1.29882707368e-44   1.03788789024e-99   3.69310986331e-100
   Y-95        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Y-96        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zr-86       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zr-87       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zr-88       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zr-89       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zr-90       1.32747637659e-09   5.61020460154e-10   1.05544970995e-09 
   Zr-91       3.62738169226e-10   1.36787452798e-10   2.50394650578e-10 
   Zr-92       5.83379324127e-10   2.15846342751e-10   4.24057657962e-10 
   Zr-93       1.78407294624e-10   5.8672643214e-11    1.36368008803e-10 
   Zr-94       7.21118050763e-10   2.85415982409e-10   7.06426137958e-10 
   Zr-95       1.38490597642e-15   5.49679783121e-20   1.38851723376e-17 
   Zr-96       6.64017008742e-11   1.96604454431e-11   1.08807971961e-11 
   Zr-97       3.93437648136e-20   1.78570462373e-23   1.01698684087e-22 
   Zr-98       2.62674932987e-35   1.9662667298e-62    3.69310986331e-100
   Nb-89       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Nb-90       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Nb-91       1.43115911596e-30   1.03788789024e-99   3.69310986331e-100
   Nb-92       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Nb-93       3.29697464449e-11   1.94995271073e-11   1.93448468414e-11 
   Nb-94       1.18040251444e-16   2.14340201351e-15   2.9798641038e-15  
   Nb-95       3.97337502731e-16   3.83011954086e-20   1.10468030797e-17 
   Nb-96       2.48213549796e-22   1.82445099434e-28   1.51379261989e-25 
   Nb-97       3.01819691759e-21   1.36537238363e-24   7.78932579496e-24 
   Nb-98       8.21026878978e-31   1.91272613529e-58   3.37954494116e-35 
   Nb-99       2.2623214314e-40    1.03788789024e-99   3.69310986331e-100
   Mo-90       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Mo-91       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Mo-92       1.75820452768e-11   1.02785733845e-11   7.01562098391e-12 
   Mo-93       6.66803492156e-15   1.25999930071e-14   9.77215005759e-15 
   Mo-94       1.13399715107e-11   7.48098834881e-12   1.28551032389e-11 
   Mo-95       1.03815647005e-10   3.93130666763e-11   8.24110881065e-11 
   Mo-96       1.83997121975e-10   6.73368182376e-11   1.62425769459e-10 
   Mo-97       6.50435310528e-11   2.53596431495e-11   5.77029598524e-11 
   Mo-98       1.9995868142e-10    8.17513883821e-11   2.07605798548e-10 
   Mo-99       5.18901082988e-17   4.16492238806e-22   2.54027812448e-19 
   Mo-100      2.11952193758e-11   9.04916156634e-12   6.58026377388e-12 
   Mo-101      1.89815017088e-26   6.80565698528e-29   8.38004242655e-27 
   Mo-102      4.21778701549e-34   3.99720949679e-60   1.15988794718e-44 
   Tc-93       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Tc-94       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Tc-95       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Tc-96       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Tc-97       1.30234703086e-16   1.98450863041e-15   5.95007725605e-15 
   Tc-98       1.99093903086e-17   4.3025140625e-16    3.18724719392e-16 
   Tc-99       2.14357378068e-11   8.23803926034e-12   1.71136184522e-11 
   Tc-100      1.92264576692e-27   9.79311353166e-31   5.46895740335e-28 
   Tc-101      3.58874939224e-26   1.93995164555e-28   1.65523668055e-26 
   Tc-102      2.15655110845e-34   9.82777171711e-41   1.04984963322e-42 
   Tc-103      1.93841279171e-42   1.03788789024e-99   3.69310986331e-100
