H Table: (M=1.65,Z=0.006)
H Lifetime: 1.644E+09
H Mfinal: 6.140E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.341E-01 &7.380E-01 &1 &1  
&Os-192   &9.885E-11 &9.204E-11 &76&192
&Ir-191   &8.474E-11 &8.152E-11 &77&191
&Ir-193   &1.437E-10 &1.386E-10 &77&193
&Pt-190   &6.176E-14 &6.056E-14 &78&190
&Pt-192   &5.475E-12 &3.513E-12 &78&192
&Pt-194   &1.598E-10 &1.495E-10 &78&194
&Pt-195   &1.602E-10 &1.542E-10 &78&195
&Pt-196   &1.316E-10 &1.157E-10 &78&196
&Pt-198   &3.471E-11 &3.316E-11 &78&198
&Au-197   &7.053E-11 &6.506E-11 &79&197
&Hg-196   &1.843E-13 &1.807E-13 &80&196
&Hg-198   &2.536E-11 &1.186E-11 &80&198
&Hg-199   &2.694E-11 &2.018E-11 &80&199
&Hg-200   &5.011E-11 &2.776E-11 &80&200
&Hg-201   &2.580E-11 &1.592E-11 &80&201
&Hg-202   &7.526E-11 &3.625E-11 &80&202
&Hg-204   &9.749E-12 &8.416E-12 &80&204
&Tl-203   &3.751E-11 &1.934E-11 &81&203
&Tl-205   &7.822E-11 &4.663E-11 &81&205
&Pb-204   &4.147E-11 &1.760E-11 &82&204
&Pb-208   &2.199E-09 &5.315E-10 &82&208
&Bi-209   &8.276E-11 &5.236E-11 &83&209
