Ejected yields in solar masses from Battino et al. 2019, MNRAS (models listed in Table 2)

Isotope	 m2z1m2	 m3z1m2	 m2z2m2	 m3z2m2	 m2z3m2	 m3z3m2	 m3z2m2-hCBM	 m3z3m2-hCBM
Fe-54	4.2265103E-05	5.3215212E-05	8.4170308E-05	1.8268714E-04	8.0453899E-05	1.7769949E-04	1.7844906E-04	2.4869439E-04
Fe-55	6.3902927E-08	1.0433329E-07	1.2438858E-07	5.3864432E-07	1.1776547E-07	6.1844816E-07	5.2627104E-07	9.8156773E-07
Fe-56	6.9316750E-04	8.7399612E-04	1.3788430E-03	3.0096567E-03	1.3180579E-03	2.9345504E-03	2.9413011E-03	4.1149387E-03
Fe-57	1.7749107E-05	2.2859496E-05	3.4963122E-05	8.1660429E-05	3.3453989E-05	8.1550273E-05	8.0065035E-05	1.1647184E-04
Fe-58	4.8076067E-06	7.4498619E-06	8.1205544E-06	2.9018441E-05	7.7489102E-06	2.9754358E-05	2.8998886E-05	4.4299648E-05
Fe-59	1.0561106E-99	9.1437060E-37	1.0148024E-99	9.5085139E-41	6.6732552E-100	8.9986263E-37	1.8427423E-35	2.0946096E-99
Fe-60	4.9499900E-08	1.7734128E-07	4.6342290E-08	6.2957338E-07	3.7608817E-08	4.3428086E-07	5.7605450E-07	5.2905451E-07
Fe-61	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Co-55	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Co-56	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Co-57	1.6154225E-18	6.0997313E-18	5.2249925E-18	4.4915301E-17	6.0974939E-18	5.1783173E-17	3.8820292E-17	7.5902704E-17
Co-58	1.0561106E-99	4.5766872E-49	1.0148024E-99	4.0529854E-30	6.6732552E-100	2.4836750E-48	3.6959828E-50	2.0946096E-99
Co-59	2.7107795E-06	3.8168032E-06	4.9622617E-06	1.3762730E-05	4.7363041E-06	1.3540537E-05	1.3607637E-05	1.9453718E-05
Co-60	1.4010341E-17	7.0359973E-14	2.3734302E-16	1.2897274E-13	1.3265625E-16	3.2346408E-14	5.5454847E-14	2.0707189E-14
Co-61	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2471347E-99	2.0946096E-99
Co-62	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Co-63	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ni-56	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ni-57	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ni-58	2.9739395E-05	3.7440300E-05	5.9223065E-05	1.2853806E-04	5.6608315E-05	1.2504947E-04	1.2556387E-04	1.7502973E-04
Ni-59	4.9091195E-08	6.5815344E-08	9.9071940E-08	3.6791869E-07	9.5600249E-08	4.5649619E-07	3.6618934E-07	7.3527456E-07
Ni-60	1.2412775E-05	1.5895877E-05	2.4302551E-05	5.5129775E-05	2.3228038E-05	5.3905818E-05	5.4083565E-05	7.6017109E-05
Ni-61	7.5345495E-07	1.1002418E-06	1.3311572E-06	3.9916327E-06	1.2678398E-06	3.9350385E-06	3.9714771E-06	5.7000472E-06
Ni-62	2.1488825E-06	3.1310737E-06	3.8751179E-06	1.0936648E-05	3.6888979E-06	1.0493927E-05	1.0824197E-05	1.4923083E-05
Ni-63	1.7864106E-08	8.6347598E-08	2.3951809E-08	2.8858601E-07	2.1050212E-08	2.2017561E-07	2.6548785E-07	2.8861699E-07
Ni-64	6.8235490E-07	1.2155124E-06	1.0796111E-06	4.0636092E-06	1.0142377E-06	3.5716407E-06	4.0268657E-06	4.9917395E-06
