H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
Te-121		1.0148024E-99	
Te-122		8.8475555E-10	
Te-123		3.0830784E-10	
Te-124		1.7282787E-09	
Te-125		1.5858444E-09	
Te-126		5.1301126E-09	
Te-127		1.0148024E-99	
Te-128		6.1029488E-09	
Te-129		1.0148024E-99	
Te-130		6.4661490E-09	
Te-131		1.0148024E-99	
Te-132		1.0148024E-99	
Te-133		1.0148024E-99	
Te-134		1.0148024E-99	
I-117		1.0148024E-99	
I-118		1.0148024E-99	
I-119		1.0148024E-99	
I-120		1.0148024E-99	
I-121		1.0148024E-99	
I-122		1.0148024E-99	
I-123		1.0148024E-99	
I-124		1.0148024E-99	
I-125		1.0148024E-99	
I-126		1.0148024E-99	
I-127		1.7223329E-09	
I-128		1.0148024E-99	
I-129		6.8594300E-12	
I-130		1.0148024E-99	
I-131		1.0148024E-99	
I-132		1.0148024E-99	
I-133		1.0148024E-99	
I-134		1.0148024E-99	
I-135		1.0148024E-99	
Xe-118		1.0148024E-99	
Xe-119		1.0148024E-99	
Xe-120		1.0148024E-99	
Xe-121		1.0148024E-99	
Xe-122		1.0148024E-99	
Xe-123		1.0148024E-99	
Xe-124		2.2771107E-11	
Xe-125		1.0148024E-99	
Xe-126		2.0097926E-11	
Xe-127		1.0148024E-99	
Xe-128		9.1777750E-10	
Xe-129		5.2582926E-09	
Xe-130		1.9322150E-09	
Xe-131		4.5037499E-09	
Xe-132		7.2354016E-09	
Xe-133		1.0148024E-99	
Xe-134		2.0311630E-09	
Xe-135		1.0148024E-99	
Xe-136		1.5497612E-09	
Xe-137		1.0148024E-99	
Xe-138		1.0148024E-99	
Cs-123		1.0148024E-99	
Cs-124		1.0148024E-99	
Cs-125		1.0148024E-99	
Cs-126		1.0148024E-99	
Cs-127		1.0148024E-99	
Cs-128		1.0148024E-99	
Cs-129		1.0148024E-99	
Cs-130		1.0148024E-99	
Cs-131		1.0148024E-99	
Cs-132		1.0148024E-99	
Cs-133		1.7923156E-09	
Cs-134		2.4624801E-29	
Cs-135		2.0129299E-10	
Cs-136		1.0148024E-99	
Cs-137		5.5130406E-13	
Cs-138		1.0148024E-99	
Cs-139		1.0148024E-99	
Ba-124		1.0148024E-99	
Ba-125		1.0148024E-99	
Ba-126		1.0148024E-99	
Ba-127		1.0148024E-99	
Ba-128		1.0148024E-99	
Ba-129		1.0148024E-99	
Ba-130		1.8697910E-11	
Ba-131		1.0148024E-99	
Ba-132		1.8165759E-11	
Ba-133		6.4444750E-24	
Ba-134		1.1680360E-09	
Ba-135		1.4594376E-09	
Ba-136		3.7138012E-09	
Ba-137		3.9526662E-09	
Ba-138		3.1402563E-08	
Ba-139		1.0148024E-99	
Ba-140		1.0148024E-99	
Ba-141		1.0148024E-99	
Ba-142		1.0148024E-99	
La-127		1.0148024E-99	
La-128		1.0148024E-99	
La-129		1.0148024E-99	
La-130		1.0148024E-99	
La-131		1.0148024E-99	
La-132		1.0148024E-99	
La-133		1.0148024E-99	
La-134		1.0148024E-99	
La-135		1.0148024E-99	
La-136		1.0148024E-99	
La-137		1.8697470E-17	
La-138		1.6396820E-12	
La-139		3.8372501E-09	
La-140		1.0148024E-99	
La-141		1.0148024E-99	
La-142		1.0148024E-99	
La-143		1.0148024E-99	
Ce-130		1.0148024E-99	
Ce-131		1.0148024E-99	
Ce-132		1.0148024E-99	
Ce-133		1.0148024E-99	
Ce-134		1.0148024E-99	
Ce-135		1.0148024E-99	
Ce-136		8.6408488E-12	
Ce-137		1.0148024E-99	
